CALENDAR_YEAR,LOCATION_ID,AGE_GROUP_PUBLIC,COUNTY,EXPERIENCING_HOMELESSNESS_CNT,geo_point
2017,All,18-24,California,16281,NULL
2017,All,25-34,California,27977,NULL
2017,All,35-44,California,25195,NULL
2017,All,45-54,California,26820,NULL
2017,All,55-64,California,23401,NULL
2017,All,65+,California,7590,NULL
2017,All,Invalid,California,103,NULL
2017,All,Under 18,California,51378,NULL
2017,All,Unknown,California,3354,NULL
2017,CA-500,18-24,Santa Clara,776,"37.2324840341, -121.696278854"
2017,CA-500,25-34,Santa Clara,1503,"37.2324840341, -121.696278854"
2017,CA-500,35-44,Santa Clara,1433,"37.2324840341, -121.696278854"
2017,CA-500,45-54,Santa Clara,1629,"37.2324840341, -121.696278854"
2017,CA-500,55-64,Santa Clara,1494,"37.2324840341, -121.696278854"
2017,CA-500,65+,Santa Clara,493,"37.2324840341, -121.696278854"
2017,CA-500,Invalid,Santa Clara,NULL,"37.2324840341, -121.696278854"
2017,CA-500,Under 18,Santa Clara,2349,"37.2324840341, -121.696278854"
2017,CA-500,Unknown,Santa Clara,NULL,"37.2324840341, -121.696278854"
2017,CA-501,18-24,San Francisco,546,"37.7597150131, -122.693975573"
2017,CA-501,25-34,San Francisco,479,"37.7597150131, -122.693975573"
2017,CA-501,35-44,San Francisco,493,"37.7597150131, -122.693975573"
2017,CA-501,45-54,San Francisco,597,"37.7597150131, -122.693975573"
2017,CA-501,55-64,San Francisco,520,"37.7597150131, -122.693975573"
2017,CA-501,65+,San Francisco,196,"37.7597150131, -122.693975573"
2017,CA-501,Invalid,San Francisco,NULL,"37.7597150131, -122.693975573"
2017,CA-501,Under 18,San Francisco,1492,"37.7597150131, -122.693975573"
2017,CA-501,Unknown,San Francisco,55,"37.7597150131, -122.693975573"
2017,CA-502,18-24,Alameda,859,"37.6504930265, -121.917998966"
2017,CA-502,25-34,Alameda,958,"37.6504930265, -121.917998966"
2017,CA-502,35-44,Alameda,759,"37.6504930265, -121.917998966"
2017,CA-502,45-54,Alameda,928,"37.6504930265, -121.917998966"
2017,CA-502,55-64,Alameda,919,"37.6504930265, -121.917998966"
2017,CA-502,65+,Alameda,311,"37.6504930265, -121.917998966"
2017,CA-502,Invalid,Alameda,NULL,"37.6504930265, -121.917998966"
2017,CA-502,Under 18,Alameda,1837,"37.6504930265, -121.917998966"
2017,CA-502,Unknown,Alameda,26,"37.6504930265, -121.917998966"
2017,CA-503,18-24,Sacramento,951,"38.4493208547, -121.344253814"
2017,CA-503,25-34,Sacramento,1684,"38.4493208547, -121.344253814"
2017,CA-503,35-44,Sacramento,1506,"38.4493208547, -121.344253814"
2017,CA-503,45-54,Sacramento,1662,"38.4493208547, -121.344253814"
2017,CA-503,55-64,Sacramento,1237,"38.4493208547, -121.344253814"
2017,CA-503,65+,Sacramento,328,"38.4493208547, -121.344253814"
2017,CA-503,Invalid,Sacramento,NULL,"38.4493208547, -121.344253814"
2017,CA-503,Under 18,Sacramento,3851,"38.4493208547, -121.344253814"
2017,CA-503,Unknown,Sacramento,NULL,"38.4493208547, -121.344253814"
2017,CA-504,18-24,Sonoma,274,"38.525292575, -122.922544658"
2017,CA-504,25-34,Sonoma,429,"38.525292575, -122.922544658"
2017,CA-504,35-44,Sonoma,440,"38.525292575, -122.922544658"
2017,CA-504,45-54,Sonoma,477,"38.525292575, -122.922544658"
2017,CA-504,55-64,Sonoma,467,"38.525292575, -122.922544658"
2017,CA-504,65+,Sonoma,151,"38.525292575, -122.922544658"
2017,CA-504,Invalid,Sonoma,NULL,"38.525292575, -122.922544658"
2017,CA-504,Under 18,Sonoma,671,"38.525292575, -122.922544658"
2017,CA-505,18-24,Contra Costa,364,"37.9233794475, -121.951073113"
2017,CA-505,25-34,Contra Costa,766,"37.9233794475, -121.951073113"
2017,CA-505,35-44,Contra Costa,785,"37.9233794475, -121.951073113"
2017,CA-505,45-54,Contra Costa,840,"37.9233794475, -121.951073113"
2017,CA-505,55-64,Contra Costa,736,"37.9233794475, -121.951073113"
2017,CA-505,65+,Contra Costa,263,"37.9233794475, -121.951073113"
2017,CA-505,Invalid,Contra Costa,NULL,"37.9233794475, -121.951073113"
2017,CA-505,Under 18,Contra Costa,1066,"37.9233794475, -121.951073113"
2017,CA-505,Unknown,Contra Costa,NULL,"37.9233794475, -121.951073113"
2017,CA-506,18-24,"Monterey, San Benito Counties",176,NULL
2017,CA-506,25-34,"Monterey, San Benito Counties",360,NULL
2017,CA-506,35-44,"Monterey, San Benito Counties",252,NULL
2017,CA-506,45-54,"Monterey, San Benito Counties",250,NULL
2017,CA-506,55-64,"Monterey, San Benito Counties",241,NULL
2017,CA-506,65+,"Monterey, San Benito Counties",103,NULL
2017,CA-506,Invalid,"Monterey, San Benito Counties",NULL,NULL
2017,CA-506,Under 18,"Monterey, San Benito Counties",865,NULL
2017,CA-506,Unknown,"Monterey, San Benito Counties",NULL,NULL
2017,CA-507,18-24,Marin,103,"38.05518334, -122.748858563"
2017,CA-507,25-34,Marin,256,"38.05518334, -122.748858563"
2017,CA-507,35-44,Marin,268,"38.05518334, -122.748858563"
2017,CA-507,45-54,Marin,301,"38.05518334, -122.748858563"
2017,CA-507,55-64,Marin,286,"38.05518334, -122.748858563"
2017,CA-507,65+,Marin,110,"38.05518334, -122.748858563"
2017,CA-507,Under 18,Marin,301,"38.05518334, -122.748858563"
2017,CA-507,Unknown,Marin,NULL,"38.05518334, -122.748858563"
2017,CA-508,18-24,Santa Cruz,106,"37.0216059108, -122.009787403"
2017,CA-508,25-34,Santa Cruz,287,"37.0216059108, -122.009787403"
2017,CA-508,35-44,Santa Cruz,263,"37.0216059108, -122.009787403"
2017,CA-508,45-54,Santa Cruz,314,"37.0216059108, -122.009787403"
2017,CA-508,55-64,Santa Cruz,285,"37.0216059108, -122.009787403"
2017,CA-508,65+,Santa Cruz,125,"37.0216059108, -122.009787403"
2017,CA-508,Under 18,Santa Cruz,454,"37.0216059108, -122.009787403"
2017,CA-508,Unknown,Santa Cruz,13,"37.0216059108, -122.009787403"
2017,CA-509,18-24,Mendocino,88,"39.4336238198, -123.431553907"
2017,CA-509,25-34,Mendocino,124,"39.4336238198, -123.431553907"
2017,CA-509,35-44,Mendocino,129,"39.4336238198, -123.431553907"
2017,CA-509,45-54,Mendocino,142,"39.4336238198, -123.431553907"
2017,CA-509,55-64,Mendocino,118,"39.4336238198, -123.431553907"
2017,CA-509,65+,Mendocino,43,"39.4336238198, -123.431553907"
2017,CA-509,Under 18,Mendocino,60,"39.4336238198, -123.431553907"
2017,CA-509,Unknown,Mendocino,NULL,"39.4336238198, -123.431553907"
2017,CA-510,18-24,Stanislaus,537,"37.5591374435, -120.997682895"
2017,CA-510,25-34,Stanislaus,980,"37.5591374435, -120.997682895"
2017,CA-510,35-44,Stanislaus,849,"37.5591374435, -120.997682895"
2017,CA-510,45-54,Stanislaus,658,"37.5591374435, -120.997682895"
2017,CA-510,55-64,Stanislaus,486,"37.5591374435, -120.997682895"
2017,CA-510,65+,Stanislaus,137,"37.5591374435, -120.997682895"
2017,CA-510,Under 18,Stanislaus,2551,"37.5591374435, -120.997682895"
2017,CA-510,Unknown,Stanislaus,NULL,"37.5591374435, -120.997682895"
2017,CA-511,18-24,San Joaquin,666,"37.9347459676, -121.271403235"
2017,CA-511,25-34,San Joaquin,1282,"37.9347459676, -121.271403235"
2017,CA-511,35-44,San Joaquin,940,"37.9347459676, -121.271403235"
2017,CA-511,45-54,San Joaquin,719,"37.9347459676, -121.271403235"
2017,CA-511,55-64,San Joaquin,521,"37.9347459676, -121.271403235"
2017,CA-511,65+,San Joaquin,177,"37.9347459676, -121.271403235"
2017,CA-511,Invalid,San Joaquin,NULL,"37.9347459676, -121.271403235"
2017,CA-511,Under 18,San Joaquin,3531,"37.9347459676, -121.271403235"
2017,CA-511,Unknown,San Joaquin,11,"37.9347459676, -121.271403235"
2017,CA-512,18-24,San Mateo,308,"37.4362097341, -122.355663195"
2017,CA-512,25-34,San Mateo,648,"37.4362097341, -122.355663195"
2017,CA-512,35-44,San Mateo,563,"37.4362097341, -122.355663195"
2017,CA-512,45-54,San Mateo,621,"37.4362097341, -122.355663195"
2017,CA-512,55-64,San Mateo,662,"37.4362097341, -122.355663195"
2017,CA-512,65+,San Mateo,217,"37.4362097341, -122.355663195"
2017,CA-512,Under 18,San Mateo,1230,"37.4362097341, -122.355663195"
2017,CA-512,Unknown,San Mateo,11,"37.4362097341, -122.355663195"
2017,CA-513,18-24,"Kings, Tulare Counties",279,NULL
2017,CA-513,25-34,"Kings, Tulare Counties",573,NULL
2017,CA-513,35-44,"Kings, Tulare Counties",523,NULL
2017,CA-513,45-54,"Kings, Tulare Counties",416,NULL
2017,CA-513,55-64,"Kings, Tulare Counties",277,NULL
2017,CA-513,65+,"Kings, Tulare Counties",82,NULL
2017,CA-513,Under 18,"Kings, Tulare Counties",801,NULL
2017,CA-513,Unknown,"Kings, Tulare Counties",NULL,NULL
2017,CA-514,18-24,"Fresno, Madera Counties",164,NULL
2017,CA-514,25-34,"Fresno, Madera Counties",308,NULL
2017,CA-514,35-44,"Fresno, Madera Counties",305,NULL
2017,CA-514,45-54,"Fresno, Madera Counties",336,NULL
2017,CA-514,55-64,"Fresno, Madera Counties",343,NULL
2017,CA-514,65+,"Fresno, Madera Counties",95,NULL
2017,CA-514,Invalid,"Fresno, Madera Counties",NULL,NULL
2017,CA-514,Under 18,"Fresno, Madera Counties",767,NULL
2017,CA-514,Unknown,"Fresno, Madera Counties",NULL,NULL
2017,CA-515,18-24,Placer,90,"39.0634313879, -120.717645936"
2017,CA-515,25-34,Placer,210,"39.0634313879, -120.717645936"
2017,CA-515,35-44,Placer,223,"39.0634313879, -120.717645936"
2017,CA-515,45-54,Placer,221,"39.0634313879, -120.717645936"
2017,CA-515,55-64,Placer,197,"39.0634313879, -120.717645936"
2017,CA-515,65+,Placer,58,"39.0634313879, -120.717645936"
2017,CA-515,Invalid,Placer,NULL,"39.0634313879, -120.717645936"
2017,CA-515,Under 18,Placer,268,"39.0634313879, -120.717645936"
2017,CA-515,Unknown,Placer,NULL,"39.0634313879, -120.717645936"
2017,CA-516,18-24,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",23,NULL
2017,CA-516,25-34,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",57,NULL
2017,CA-516,35-44,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",44,NULL
2017,CA-516,45-54,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",21,NULL
2017,CA-516,55-64,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",22,NULL
2017,CA-516,65+,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",NULL,NULL
2017,CA-516,Invalid,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",NULL,NULL
2017,CA-516,Under 18,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties",80,NULL
2017,CA-517,18-24,Napa,78,"38.5064964441, -122.330538465"
2017,CA-517,25-34,Napa,194,"38.5064964441, -122.330538465"
2017,CA-517,35-44,Napa,149,"38.5064964441, -122.330538465"
2017,CA-517,45-54,Napa,174,"38.5064964441, -122.330538465"
2017,CA-517,55-64,Napa,142,"38.5064964441, -122.330538465"
2017,CA-517,65+,Napa,29,"38.5064964441, -122.330538465"
2017,CA-517,Under 18,Napa,179,"38.5064964441, -122.330538465"
2017,CA-518,18-24,Solano,67,"38.2669127871, -121.940024418"
2017,CA-518,25-34,Solano,144,"38.2669127871, -121.940024418"
2017,CA-518,35-44,Solano,142,"38.2669127871, -121.940024418"
2017,CA-518,45-54,Solano,147,"38.2669127871, -121.940024418"
2017,CA-518,55-64,Solano,166,"38.2669127871, -121.940024418"
2017,CA-518,65+,Solano,62,"38.2669127871, -121.940024418"
2017,CA-518,Invalid,Solano,NULL,"38.2669127871, -121.940024418"
2017,CA-518,Under 18,Solano,225,"38.2669127871, -121.940024418"
2017,CA-518,Unknown,Solano,NULL,"38.2669127871, -121.940024418"
2017,CA-519,18-24,Butte,121,"39.6669293633, -121.600671735"
2017,CA-519,25-34,Butte,276,"39.6669293633, -121.600671735"
2017,CA-519,35-44,Butte,212,"39.6669293633, -121.600671735"
2017,CA-519,45-54,Butte,202,"39.6669293633, -121.600671735"
2017,CA-519,55-64,Butte,189,"39.6669293633, -121.600671735"
2017,CA-519,65+,Butte,57,"39.6669293633, -121.600671735"
2017,CA-519,Under 18,Butte,320,"39.6669293633, -121.600671735"
2017,CA-519,Unknown,Butte,NULL,"39.6669293633, -121.600671735"
2017,CA-520,18-24,Merced,42,"37.191870471, -120.717688"
2017,CA-520,25-34,Merced,83,"37.191870471, -120.717688"
2017,CA-520,35-44,Merced,113,"37.191870471, -120.717688"
2017,CA-520,45-54,Merced,132,"37.191870471, -120.717688"
2017,CA-520,55-64,Merced,161,"37.191870471, -120.717688"
2017,CA-520,65+,Merced,37,"37.191870471, -120.717688"
2017,CA-520,Under 18,Merced,36,"37.191870471, -120.717688"
2017,CA-521,18-24,Yolo,39,"38.6866603948, -121.90161702"
2017,CA-521,25-34,Yolo,109,"38.6866603948, -121.90161702"
2017,CA-521,35-44,Yolo,95,"38.6866603948, -121.90161702"
2017,CA-521,45-54,Yolo,88,"38.6866603948, -121.90161702"
2017,CA-521,55-64,Yolo,65,"38.6866603948, -121.90161702"
2017,CA-521,65+,Yolo,NULL,"38.6866603948, -121.90161702"
2017,CA-521,Under 18,Yolo,129,"38.6866603948, -121.90161702"
2017,CA-522,18-24,Humboldt,81,"40.7050090829, -123.915819446"
2017,CA-522,25-34,Humboldt,150,"40.7050090829, -123.915819446"
2017,CA-522,35-44,Humboldt,131,"40.7050090829, -123.915819446"
2017,CA-522,45-54,Humboldt,125,"40.7050090829, -123.915819446"
2017,CA-522,55-64,Humboldt,142,"40.7050090829, -123.915819446"
2017,CA-522,65+,Humboldt,50,"40.7050090829, -123.915819446"
2017,CA-522,Invalid,Humboldt,NULL,"40.7050090829, -123.915819446"
2017,CA-522,Under 18,Humboldt,325,"40.7050090829, -123.915819446"
2017,CA-522,Unknown,Humboldt,NULL,"40.7050090829, -123.915819446"
2017,CA-523,18-24,"Colusa, Glenn, Trinity Counties",23,NULL
2017,CA-523,25-34,"Colusa, Glenn, Trinity Counties",32,NULL
2017,CA-523,35-44,"Colusa, Glenn, Trinity Counties",20,NULL
2017,CA-523,45-54,"Colusa, Glenn, Trinity Counties",NULL,NULL
2017,CA-523,55-64,"Colusa, Glenn, Trinity Counties",NULL,NULL
2017,CA-523,Under 18,"Colusa, Glenn, Trinity Counties",119,NULL
2017,CA-525,18-24,El Dorado,18,"38.7787375794, -120.524649929"
2017,CA-525,25-34,El Dorado,35,"38.7787375794, -120.524649929"
2017,CA-525,35-44,El Dorado,37,"38.7787375794, -120.524649929"
2017,CA-525,45-54,El Dorado,46,"38.7787375794, -120.524649929"
2017,CA-525,55-64,El Dorado,38,"38.7787375794, -120.524649929"
2017,CA-525,65+,El Dorado,NULL,"38.7787375794, -120.524649929"
2017,CA-525,Under 18,El Dorado,120,"38.7787375794, -120.524649929"
2017,CA-526,18-24,"Amador, Calaveras, Mariposa, Tuolumne Counties",41,NULL
2017,CA-526,25-34,"Amador, Calaveras, Mariposa, Tuolumne Counties",93,NULL
2017,CA-526,35-44,"Amador, Calaveras, Mariposa, Tuolumne Counties",79,NULL
2017,CA-526,45-54,"Amador, Calaveras, Mariposa, Tuolumne Counties",70,NULL
2017,CA-526,55-64,"Amador, Calaveras, Mariposa, Tuolumne Counties",52,NULL
2017,CA-526,65+,"Amador, Calaveras, Mariposa, Tuolumne Counties",17,NULL
2017,CA-526,Under 18,"Amador, Calaveras, Mariposa, Tuolumne Counties",196,NULL
2017,CA-527,18-24,Tehama,30,"40.1257361849, -122.233884853"
2017,CA-527,25-34,Tehama,80,"40.1257361849, -122.233884853"
2017,CA-527,35-44,Tehama,69,"40.1257361849, -122.233884853"
2017,CA-527,45-54,Tehama,60,"40.1257361849, -122.233884853"
2017,CA-527,55-64,Tehama,77,"40.1257361849, -122.233884853"
2017,CA-527,65+,Tehama,22,"40.1257361849, -122.233884853"
2017,CA-527,Under 18,Tehama,55,"40.1257361849, -122.233884853"
2017,CA-527,Unknown,Tehama,NULL,"40.1257361849, -122.233884853"
2017,CA-529,18-24,Lake,NULL,"39.0996453445, -122.753183909"
2017,CA-529,25-34,Lake,NULL,"39.0996453445, -122.753183909"
2017,CA-529,35-44,Lake,NULL,"39.0996453445, -122.753183909"
2017,CA-529,45-54,Lake,NULL,"39.0996453445, -122.753183909"
2017,CA-529,55-64,Lake,NULL,"39.0996453445, -122.753183909"
2017,CA-529,65+,Lake,NULL,"39.0996453445, -122.753183909"
