CALENDAR_YEAR,LOCATION_ID,race_ethnicity,CNT
2017,All,"American Indian, Alaska Native, or Indigenous",1935
2017,All,Asian or Asian American,2746
2017,All,"Black, African American or African",54052
2017,All,Hispanic/Latina/e/o,3746
2017,All,Native Hawaiian or Pacific Islander,1934
2017,All,two or more races,127376
2017,All,White,51373
2017,CA-500,"American Indian, Alaska Native, or Indigenous",119
2017,CA-500,Asian or Asian American,378
2017,CA-500,"Black, African American or African",1373
2017,CA-500,Hispanic/Latina/e/o,258
2017,CA-500,Native Hawaiian or Pacific Islander,175
2017,CA-500,two or more races,10138
2017,CA-500,White,2460
2017,CA-501,"American Indian, Alaska Native, or Indigenous",71
2017,CA-501,Asian or Asian American,174
2017,CA-501,"Black, African American or African",1593
2017,CA-501,Hispanic/Latina/e/o,206
2017,CA-501,Native Hawaiian or Pacific Islander,94
2017,CA-501,two or more races,2407
2017,CA-501,White,810
2017,CA-502,"American Indian, Alaska Native, or Indigenous",70
2017,CA-502,Asian or Asian American,172
2017,CA-502,"Black, African American or African",3461
2017,CA-502,Hispanic/Latina/e/o,46
2017,CA-502,Native Hawaiian or Pacific Islander,72
2017,CA-502,two or more races,3659
2017,CA-502,White,983
2017,CA-503,"American Indian, Alaska Native, or Indigenous",150
2017,CA-503,Asian or Asian American,127
2017,CA-503,"Black, African American or African",4722
2017,CA-503,Hispanic/Latina/e/o,49
2017,CA-503,Native Hawaiian or Pacific Islander,152
2017,CA-503,two or more races,5547
2017,CA-503,White,3389
2017,CA-504,"American Indian, Alaska Native, or Indigenous",64
2017,CA-504,Asian or Asian American,25
2017,CA-504,"Black, African American or African",188
2017,CA-504,Hispanic/Latina/e/o,37
2017,CA-504,Native Hawaiian or Pacific Islander,26
2017,CA-504,two or more races,2024
2017,CA-504,White,1611
2017,CA-505,"American Indian, Alaska Native, or Indigenous",49
2017,CA-505,Asian or Asian American,67
2017,CA-505,"Black, African American or African",1767
2017,CA-505,Hispanic/Latina/e/o,30
2017,CA-505,Native Hawaiian or Pacific Islander,91
2017,CA-505,two or more races,2198
2017,CA-505,White,1614
2017,CA-506,"American Indian, Alaska Native, or Indigenous",15
2017,CA-506,Asian or Asian American,33
2017,CA-506,"Black, African American or African",203
2017,CA-506,Hispanic/Latina/e/o,25
2017,CA-506,Native Hawaiian or Pacific Islander,31
2017,CA-506,two or more races,2843
2017,CA-506,White,544
2017,CA-507,"American Indian, Alaska Native, or Indigenous",26
2017,CA-507,Asian or Asian American,33
2017,CA-507,"Black, African American or African",318
2017,CA-507,Hispanic/Latina/e/o,46
2017,CA-507,Native Hawaiian or Pacific Islander,13
2017,CA-507,two or more races,728
2017,CA-507,White,797
2017,CA-508,"American Indian, Alaska Native, or Indigenous",37
2017,CA-508,Asian or Asian American,14
2017,CA-508,"Black, African American or African",92
2017,CA-508,Hispanic/Latina/e/o,43
2017,CA-508,Native Hawaiian or Pacific Islander,NULL
2017,CA-508,two or more races,1412
2017,CA-508,White,922
2017,CA-509,"American Indian, Alaska Native, or Indigenous",47
2017,CA-509,Asian or Asian American,NULL
2017,CA-509,"Black, African American or African",39
2017,CA-509,Hispanic/Latina/e/o,NULL
2017,CA-509,Native Hawaiian or Pacific Islander,NULL
2017,CA-509,two or more races,198
2017,CA-509,White,503
2017,CA-510,"American Indian, Alaska Native, or Indigenous",61
2017,CA-510,Asian or Asian American,70
2017,CA-510,"Black, African American or African",654
2017,CA-510,Hispanic/Latina/e/o,92
2017,CA-510,Native Hawaiian or Pacific Islander,67
2017,CA-510,two or more races,6223
2017,CA-510,White,2241
