CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,All,California,18-24,16281
2017,All,California,25-34,27977
2017,All,California,35-44,25195
2017,All,California,45-54,26820
2017,All,California,55-64,23401
2017,All,California,65+,7590
2017,All,California,Invalid,103
2017,All,California,Under 18,51378
2017,All,California,Unknown,3354
2017,CA-500,Santa Clara County CoC,18-24,776
2017,CA-500,Santa Clara County CoC,25-34,1503
2017,CA-500,Santa Clara County CoC,35-44,1433
2017,CA-500,Santa Clara County CoC,45-54,1629
2017,CA-500,Santa Clara County CoC,55-64,1494
2017,CA-500,Santa Clara County CoC,65+,493
2017,CA-500,Santa Clara County CoC,Invalid,*
2017,CA-500,Santa Clara County CoC,Under 18,2349
2017,CA-500,Santa Clara County CoC,Unknown,*
2017,CA-501,San Francisco CoC,18-24,546
2017,CA-501,San Francisco CoC,25-34,479
2017,CA-501,San Francisco CoC,35-44,493
2017,CA-501,San Francisco CoC,45-54,597
2017,CA-501,San Francisco CoC,55-64,520
2017,CA-501,San Francisco CoC,65+,196
2017,CA-501,San Francisco CoC,Invalid,*
2017,CA-501,San Francisco CoC,Under 18,1492
2017,CA-501,San Francisco CoC,Unknown,55
2017,CA-502,Alameda County CoC,18-24,859
2017,CA-502,Alameda County CoC,25-34,958
2017,CA-502,Alameda County CoC,35-44,759
2017,CA-502,Alameda County CoC,45-54,928
2017,CA-502,Alameda County CoC,55-64,919
2017,CA-502,Alameda County CoC,65+,311
2017,CA-502,Alameda County CoC,Invalid,*
2017,CA-502,Alameda County CoC,Under 18,1837
2017,CA-502,Alameda County CoC,Unknown,26
2017,CA-503,Sacramento County CoC,18-24,951
2017,CA-503,Sacramento County CoC,25-34,1684
2017,CA-503,Sacramento County CoC,35-44,1506
2017,CA-503,Sacramento County CoC,45-54,1662
2017,CA-503,Sacramento County CoC,55-64,1237
2017,CA-503,Sacramento County CoC,65+,328
2017,CA-503,Sacramento County CoC,Invalid,*
2017,CA-503,Sacramento County CoC,Under 18,3851
2017,CA-503,Sacramento County CoC,Unknown,*
2017,CA-504,Sonoma County CoC,18-24,274
2017,CA-504,Sonoma County CoC,25-34,429
2017,CA-504,Sonoma County CoC,35-44,440
2017,CA-504,Sonoma County CoC,45-54,477
2017,CA-504,Sonoma County CoC,55-64,467
2017,CA-504,Sonoma County CoC,65+,151
2017,CA-504,Sonoma County CoC,Invalid,*
2017,CA-504,Sonoma County CoC,Under 18,671
2017,CA-505,Contra Costa County CoC,18-24,364
2017,CA-505,Contra Costa County CoC,25-34,766
2017,CA-505,Contra Costa County CoC,35-44,785
2017,CA-505,Contra Costa County CoC,45-54,840
2017,CA-505,Contra Costa County CoC,55-64,736
2017,CA-505,Contra Costa County CoC,65+,263
2017,CA-505,Contra Costa County CoC,Invalid,*
2017,CA-505,Contra Costa County CoC,Under 18,1066
2017,CA-505,Contra Costa County CoC,Unknown,*
2017,CA-506,"Monterey, San Benito Counties CoC",18-24,176
2017,CA-506,"Monterey, San Benito Counties CoC",25-34,360
2017,CA-506,"Monterey, San Benito Counties CoC",35-44,252
2017,CA-506,"Monterey, San Benito Counties CoC",45-54,250
2017,CA-506,"Monterey, San Benito Counties CoC",55-64,241
2017,CA-506,"Monterey, San Benito Counties CoC",65+,103
2017,CA-506,"Monterey, San Benito Counties CoC",Invalid,*
2017,CA-506,"Monterey, San Benito Counties CoC",Under 18,865
2017,CA-506,"Monterey, San Benito Counties CoC",Unknown,*
2017,CA-507,Marin County CoC,18-24,103
2017,CA-507,Marin County CoC,25-34,256
2017,CA-507,Marin County CoC,35-44,268
2017,CA-507,Marin County CoC,45-54,301
2017,CA-507,Marin County CoC,55-64,286
2017,CA-507,Marin County CoC,65+,110
2017,CA-507,Marin County CoC,Under 18,301
2017,CA-507,Marin County CoC,Unknown,*
2017,CA-508,Santa Cruz County CoC,18-24,106
2017,CA-508,Santa Cruz County CoC,25-34,287
2017,CA-508,Santa Cruz County CoC,35-44,263
2017,CA-508,Santa Cruz County CoC,45-54,314
2017,CA-508,Santa Cruz County CoC,55-64,285
2017,CA-508,Santa Cruz County CoC,65+,125
2017,CA-508,Santa Cruz County CoC,Under 18,454
2017,CA-508,Santa Cruz County CoC,Unknown,13
2017,CA-509,Mendocino County CoC,18-24,88
2017,CA-509,Mendocino County CoC,25-34,124
2017,CA-509,Mendocino County CoC,35-44,129
2017,CA-509,Mendocino County CoC,45-54,142
2017,CA-509,Mendocino County CoC,55-64,118
2017,CA-509,Mendocino County CoC,65+,43
2017,CA-509,Mendocino County CoC,Under 18,60
2017,CA-509,Mendocino County CoC,Unknown,*
2017,CA-510,Stanislaus County CoC,18-24,537
2017,CA-510,Stanislaus County CoC,25-34,980
2017,CA-510,Stanislaus County CoC,35-44,849
2017,CA-510,Stanislaus County CoC,45-54,658
2017,CA-510,Stanislaus County CoC,55-64,486
2017,CA-510,Stanislaus County CoC,65+,137
2017,CA-510,Stanislaus County CoC,Under 18,2551
2017,CA-510,Stanislaus County CoC,Unknown,*
